topic1_word,topic2_word,topic3_word,topic4_word
tiktok,chinese,cat,tiktok
美国,friends,tax,tiktokrefugee
refugee,foreigner,cattax,tiktok_refugee
中国,朋友,猫税,rednote
小红书,中国,cats,fyp
tiktokrefugee,hello,pay,tiktokban
tt,china,please,american
中文,love,tiktokrefugee,ask
生活,new,翻译,girl
难民,tiktokrefugee,可爱,follow
英语,希望,支付,anything
外国人,你好,translate,us
真的,外国人,美国,time
文化,喜欢,name,like
朋友,make,cute,many
平台,hope,hello,hello
americans,everyone,using,free
评论,app,one,tiktokrefugees
学习,like,sorry,hi
抖音,want,dog,people
