Source,Target,Weight
chinese,friends,1
chinese,used,1
chinese,name,1
chinese,cat,1
chinese,tax,1
chinese,people,1
chinese,happy,1
chinese,new,1
chinese,add,1
chinese,captions,1
chinese,learn,1
chinese,ask,1
chinese,speak,1
chinese,must,1
chinese,hi,1
chinese,sorry,1
chinese,good,1
chinese,figure,1
chinese,history,1
chinese,going,1
chinese,improve,1
chinese,skills,1
chinese,american,1
chinese,users,1
chinese,looking,1
chinese,make,1
chinese,mandarin,1
chinese,japanese,1
chinese,teach,1
chinese,dodgers,1
chinese,rednote,1
chinese,know,1
chinese,tiktokrefugee,1
chinese,love,1
chinese,culture,1
chinese,grateful,1
chinese,friend,1
chinese,culture—from,1
chinese,learning,1
chinese,hoping,1
chinese,think,1
chinese,best,1
chinese,need,1
chinese,app,1
chinese,鸡蛋羹,1
chinese,steamed,1
chinese,help,1
chinese,video,1
chinese,7.,1
chinese,americans,1
chinese,13.,1
chinese,historians,1
chinese,cats,1
chinese,round,1
chinese,hello,2
chinese,上学,1
chinese,citizens,1
chinese,question,1
chinese,netizens,2
chinese,recipes,1
chinese,thighs,1
chinese,kidding,1
chinese,foinee,1
chinese,brothers,1
chinese,bad,1
chinese,using,1
chinese,apps,1
chinese,favorite,1
chinese,native,1
chinese,speakers,1
chinese,created,1
chinese,teachers,1
chinese,+hello,1
chinese,taught,1
chinese,first,1
chinese,brother,1
chinese,means,1
chinese,much,1
chinese,apologize,1
chinese,嗨,1
chinese,oliver,1
chinese,criticized,1
chinese,seeing,1
chinese,netizen,1
chinese,response,1
chinese,bit,1
chinese,一点点,1
chinese,married,1
chinese,national🇨🇳,1
chinese,upcoming,1
chinese,traditional,1
chinese,cool,1
chinese,net-friends,1
chinese,feel,1
chinese,everyone,1
chinese,return,1
chinese,kind,1
chinese,characters,1
chinese,heard,1
chinese,instagram/tiktok,1
chinese,teaching,1
chinese,learned,1
chinese,spanish,1
chinese,dubai,1
chinese,china,1
chinese,exchange,1
chinese,australia,1
chinese,❤️,1
chinese,meet,1
chinese,tiktok,1
chinese,like,2
friends,ask,1
friends,make,3
friends,heard,1
friends,cat,1
friends,new,1
friends,well,1
friends,today,1
friends,hope,1
friends,foreign,1
friends,几个,1
